ID,product,productName,description,category_ID,subCategory_ID,statu_code,price,rating,currency,detail_ID,supplier_ID,createdAt,createdBy,modifiedAt,modifiedBy
7e869666-0297-4c91-bf5e-5d0b177061e1,P0000001,Smartphone Nova X,"Pantalla 6.5"", 128GB, cámara triple.",49bb5ce3-a215-4e2e-b548-15c10bcf87aa,4cf82862-8187-436a-a118-a96b78cd4995,OutOfStock,399.9,4.6,USD,bcc7eef9-5fb1-449c-8f6d-2dc95f5d6e1d,
1b85121e-4bc3-4efc-a1ec-24106f6a995b,P0000002,Laptop Pro 14,"Intel i7, 16GB RAM, 512GB SSD.",49bb5ce3-a215-4e2e-b548-15c10bcf87aa,c474ba0f-6c81-429f-bd92-c7f7339c115d,OutOfStock,999.0,4.7,USD,1f768ad6-0c4f-488e-8e1b-277199eb5879,
462cad6e-4949-4cac-a703-6eff141edce4,P0000003,Auriculares OverEar,Cancelación activa de ruido.,49bb5ce3-a215-4e2e-b548-15c10bcf87aa,7ff5daf0-8379-4780-8268-d5382deacd58,OutOfStock,129.99,4.4,USD,72291dd7-441c-4c8a-a097-bd2dba0115a6,
197a74e2-a1e3-4522-865f-2686c165cf4b,P0000004,Batidora ChefMix,"700W, 5 velocidades con turbo.",0a524216-06ca-458d-ace7-723c31e2a8b6,c97f49cc-1c46-49a7-be03-30b2bb7688a2,OutOfStock,59.9,4.2,USD,1a378024-2538-4466-8ba6-31e20e214507,
fbc532a0-6c83-41d3-bf38-9d60096dd6a5,P0000005,Aspiradora Cyclone,"Filtro HEPA, depósito 2L.",0a524216-06ca-458d-ace7-723c31e2a8b6,e7904784-29a3-4998-a197-b1e73d6744cf,OutOfStock,149.5,4.3,USD,e2d1feba-da84-410d-80de-cd16268b0a4f,
2959d116-e1f8-47a7-850e-cc2aad4ac51b,P0000006,Lámpara Minimal LED,"Blanco cálido, 12W, regulable.",0a524216-06ca-458d-ace7-723c31e2a8b6,ef286735-ec4e-4a85-b32d-2db013fe1f81,OutOfStock,34.9,4.1,USD,dcce99d9-caaa-4d60-ac1a-254000b62bdf,
352f9dbc-04ae-44d9-bc2d-009191ef1319,P0000007,Banda Fitness Pro,Monitor cardíaco y sueño.,40d97144-54db-4feb-96b6-c00113fcfc37,a119093a-4a5b-4a02-9db4-9f736974240b,InStock,49.99,4.0,USD,0619e403-0fb8-448c-b449-ffe9d9158bb4,
fa725690-c796-4142-8505-29b4dd512f62,P0000008,Bicicleta Urbana 700,"Marco aluminio, 7 velocidades.",40d97144-54db-4feb-96b6-c00113fcfc37,085a597c-3132-4d28-b42f-8d19c865f510,InStock,319.0,4.5,USD,075d7b56-5dc9-49fb-97d0-33346f87564f,
a3cb2eab-3eeb-4403-a6da-f3000c453589,P0000009,Balón Fútbol Pro,"Tamaño 5, cosido a mano.",40d97144-54db-4feb-96b6-c00113fcfc37,445da370-5296-4bec-90f9-260fe3b4fee0,InStock,24.99,4.3,USD,3175c894-f60b-4dac-8354-908f5a73f558,
c2309494-d9ec-49f4-aa3f-2b3c2d6f95a2,P0000010,Polera Casual Eco,"Algodón orgánico, unisex.",d2b94ad4-6b76-4afa-adf0-d164da6b0c57,1372b377-b997-4a39-ac1d-31824e34f9a2,InStock,19.9,4.2,USD,7a858169-30e1-4193-8a79-76e382cbfe0d,
d141cf2c-3fd0-4748-a310-32e85daed280,P0000011,Zapatilla Running,"Amortiguación ligera, malla.",d2b94ad4-6b76-4afa-adf0-d164da6b0c57,69fd3a97-709b-4ab7-9429-0b05129326bc,OutOfStock,69.9,4.4,USD,a048affb-c37d-4b09-a7e7-21e26450a212,
eb147ff1-d244-4927-b1d7-275299c27554,P0000012,Camisa Formal Slim,"Algodón, antiarrugas.",d2b94ad4-6b76-4afa-adf0-d164da6b0c57,a52d3c10-b2e5-4732-9961-aa8603e7fd7b,InStock,39.9,4.1,USD,9524d2bb-a08c-4811-827b-22f2aceba033,
